index,pos,driver,gap,lap no
43,14,Daniil,+15.554,3
43,15,Antonio,+16.113,3
43,16,Romain,+16.466,3
43,17,George,+17.325,3
43,18,Kimi,+17.725,3
43,19,Sebastian,+18.393,3
43,20,Nicholas,+19.450,3
44,1,Valtteri,LEADER,3
44,2,Lewis,+0.665,3
44,3,Max,+3.206,3
44,4,Nico,+5.287,3
44,5,Lance,+6.718,3
44,6,Daniel,+8.462,3
44,7,Pierre,+9.358,3
44,8,Lando,+10.628,3
44,9,Alexander,+11.286,3
44,10,Charles,+11.770,3
44,11,Carlos,+12.736,3
44,12,Esteban,+13.950,3
44,13,Kevin,+15.917,3
44,14,Daniil,+15.784,3
44,15,Antonio,+16.201,3
44,16,Romain,+16.498,3
44,17,George,+17.526,3
44,18,Kimi,+17.792,3
44,19,Sebastian,+18.375,3
44,20,Nicholas,+19.591,3
45,1,Valtteri,LEADER,3
45,2,Lewis,+0.635,3
45,3,Max,+3.246,3
45,4,Nico,+5.350,3
45,5,Lance,+6.717,3
45,6,Daniel,+8.574,3
45,7,Pierre,+9.183,3
